group,link_a,link_b,duplicate,error
1,L14n49573,L14n50824,True,
2,L14n58198,L14n58803,True,
3,L14n58424,L14n58924,True,
4,L14n58669,L14n58925,True,
4,L14n58669,L14n58956,True,
4,L14n58925,L14n58956,True,
5,L14n62566,L14n63195,True,
6,"DT: [(-6,16),(26,-2,34,32,-40,-30,4,38,-28,-36),(-8,-22,18,12),(10,-24,20,-14)]","DT: [(-8,-12,16),(-24,-22,-28,-26),(-10,-14,-2),(-20,-6,-18,-4)]",True,
7,"DT: [(-34,-102,-44,-122,-92,-120,-56,-116,-40,-114,-52,-110,-100,-108,-48,-104),(46,-60,96,-76,54),(-88,-124,-106,-64,-72,-112,-118,-80),(-2,-32,-30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4),(-42,-84,-58,-50,-68),(-90,36,-62,-66,98,-70,-74,38,-78,-82,94,-86)]","DT: [(14,18,-24,-16,-32,26),(2,-8),(6,34,-40,-4,10,-48,42,-12),(22,50,-58,-20,28,-52,56,-30),(62,38,-46,-64,44,-36),(60,-54)]",False,
